Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
spec06-482.sphinx3-s1.trace.gz,pythia,1.45975,244825,7554,1891,649,1
spec06-482.sphinx3-s2.trace.gz,nopref,0.58017,420011,385628,17926,16457,1
spec06-482.sphinx3-s2.trace.gz,spp,0.71359,799864,216788,42390,38057,1
spec06-482.sphinx3-s2.trace.gz,bingo,0.78116,1065388,123356,31739,33840,1
spec06-482.sphinx3-s2.trace.gz,mlop,0.82846,1067961,111501,37932,38036,1
spec06-482.sphinx3-s2.trace.gz,pythia,0.85289,657340,99010,15112,14562,1
spec17-602.gcc-s0.trace.xz,nopref,0.23846,889553,887963,396,1194,1
spec17-602.gcc-s0.trace.xz,spp,0.35778,898901,29157,129,203,1
spec17-602.gcc-s0.trace.xz,bingo,0.37735,932083,32476,181,471,1
spec17-602.gcc-s0.trace.xz,mlop,0.38232,917260,16939,6,234,1
spec17-602.gcc-s0.trace.xz,pythia,0.37722,897504,19333,6,989,1
spec17-602.gcc-s1.trace.xz,nopref,0.10275,3478068,3474444,692,2932,1
spec17-602.gcc-s1.trace.xz,spp,0.27124,3583316,129421,768,2531,1
spec17-602.gcc-s1.trace.xz,bingo,0.33511,3736599,137640,933,4334,1
spec17-602.gcc-s1.trace.xz,mlop,0.35569,3736299,72651,21,3011,1
spec17-602.gcc-s1.trace.xz,pythia,0.31749,3571527,125024,25,2972,1
spec17-602.gcc-s2.trace.xz,nopref,0.36837,20958,8895,11721,342,1
spec17-602.gcc-s2.trace.xz,spp,0.36893,25635,7529,12020,516,1
spec17-602.gcc-s2.trace.xz,bingo,0.36972,32527,9674,12060,448,1
spec17-602.gcc-s2.trace.xz,mlop,0.36865,56075,7864,12014,296,1
spec17-602.gcc-s2.trace.xz,pythia,0.37359,39126,6133,12471,356,1
spec17-602.gcc-s3.trace.xz,nopref,0.36826,357764,356745,54,965,1
spec17-602.gcc-s3.trace.xz,spp,0.42876,423346,20805,60,1163,1
spec17-602.gcc-s3.trace.xz,bingo,0.433,422582,20740,54,1401,1
spec17-602.gcc-s3.trace.xz,mlop,0.43586,479340,12278,56,984,1
spec17-602.gcc-s3.trace.xz,pythia,0.43585,372561,12339,52,887,1
spec17-605.mcf-s0.trace.xz,nopref,0.26057,826647,826023,333,291,1
spec17-605.mcf-s0.trace.xz,spp,0.26475,965374,555240,724,467,1
spec17-605.mcf-s0.trace.xz,bingo,0.20603,5557914,566364,26126,24686,1
spec17-605.mcf-s0.trace.xz,mlop,0.27299,1000644,281823,872,265,1
spec17-605.mcf-s0.trace.xz,pythia,0.27399,1144530,259248,362,211,1
spec17-605.mcf-s1.trace.xz,nopref,0.18952,2157668,1386702,64758,706208,1
spec17-605.mcf-s1.trace.xz,spp,0.19127,1751778,1286068,26738,336380,1
spec17-605.mcf-s1.trace.xz,bingo,0.19221,1434167,1247543,4,93690,1
spec17-605.mcf-s1.trace.xz,mlop,0.19048,1404105,1281386,116,17315,1
